"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"88","Signaling pathways regulating pluripotency of stem cells","16/143",0.0839028085533316,0.29082885265719,0,0,1.51553103106206,3.75563167550713,"WNT10A;SMAD3;FZD5;WNT7B;WNT7A;WNT9A;DUSP9;WNT6;WNT11;ID2;ID1;FGFR4;FGFR3;JAK3;WNT4;MAPK3"
"89","Bile secretion","11/90",0.0846778516716142,0.29082885265719,0,0,1.67389126673345,4.1326721621283,"RXRA;NCEH1;CA2;SLC2A1;ATP1A1;HMGCR;ATP1B1;LDLR;AQP1;SLC9A1;UGT1A6"
"90","Circadian rhythm","5/31",0.085926706466897,0.29082885265719,0,0,2.30944625407166,5.66798294106884,"PER1;BHLHE40;BHLHE41;RORB;NR1D1"
"91","Galactose metabolism","5/31",0.085926706466897,0.29082885265719,0,0,2.30944625407166,5.66798294106884,"GAA;PGM2;GALM;GCK;HK1"
"92","Bladder cancer","6/41",0.0920350670538136,0.306371313731719,0,0,2.05904265226299,4.91202252352786,"CDKN1A;DAPK1;MMP2;DAPK3;FGFR3;MAPK3"
"93","Chagas disease","12/102",0.0925082213540581,0.306371313731719,0,0,1.60296684118674,3.81579485437838,"C3;GNAO1;NFKBIA;GNA15;ACE;TGFB1;TRAF6;SERPINE1;BDKRB2;TICAM1;RELA;MAPK3"
"94","Glycerolipid metabolism","8/61",0.0948768644242528,0.310873130241169,0,0,1.8135868762008,4.27131518223444,"MOGAT3;PNPLA3;MBOAT2;CEL;AGPAT2;MGLL;PLPP1;PNPLA2"
"95","Renin-angiotensin system","4/23",0.0960236071801759,0.311318642226255,0,0,2.52754934210526,5.92245557381634,"CTSA;ACE;KLK1;MME"
"96","Tuberculosis","19/180",0.0999278881650323,0.320601974529479,0,0,1.41979573752149,3.27022471040533,"RAB5B;TGFB1;KSR1;NFYA;SPHK1;CAMK2A;IL18;TCIRG1;RELA;C3;MRC2;CYP27B1;FCGR2A;TRAF6;ITGAX;PLA2R1;CTSD;HLA-DQB1;MAPK3"
"97","Thiamine metabolism","3/15",0.103432953259568,0.328426284576773,0,0,3.00065061808718,6.80797115526128,"ALPP;AK1;ALPG"
"98","Cell adhesion molecules","16/148",0.105593566328287,0.329701836514946,0,0,1.45772687504971,3.27720009468598,"CD274;NTNG2;SDC4;SDC2;NRXN2;F11R;PTPRF;VSIR;NFASC;CLDN3;ITGA6;CD22;NECTIN2;CD276;HLA-DQB1;NECTIN1"
"99","SNARE interactions in vesicular transport","5/33",0.106028273535657,0.329701836514946,0,0,2.14425314099581,4.81181016526994,"VAMP1;VAMP5;STX11;STX1A;VAMP3"
"100","TGF-beta signaling pathway","11/94",0.107046050816541,0.329701836514946,0,0,1.59287509751235,3.55927328181363,"SMAD3;TGFB1;SMURF1;SP1;ID2;ID1;CHRD;SMAD6;RGMA;MAPK3;FBN1"
"101","JAK-STAT signaling pathway","17/162",0.119215600599718,0.363055747191383,0,0,1.40989879321665,2.99860328533577,"PDGFRB;STAT5A;STAT5B;IL11;CDKN1A;CSF3R;CISH;STAM;PIAS1;IL22RA1;SOCS1;THPO;LEPR;PIM1;IL6R;JAK3;MCL1"
"102","Relaxin signaling pathway","14/129",0.121132104051889,0.363055747191383,0,0,1.4635021938572,3.08926808588036,"TGFB1;SHC1;MMP2;VEGFC;RELA;COL1A1;GNAO1;NFKBIA;GNA15;MMP13;CREB3L3;COL4A1;CREB3L1;MAPK3"
"103","Thyroid hormone synthesis","9/75",0.121411499872443,0.363055747191383,0,0,1.63832313995606,3.45451849522238,"PRKCG;GPX1;CREB3L3;HSPA5;CREB3L1;ATP1A1;ATP1B1;HSP90B1;SLC5A5"
"104","Cortisol synthesis and secretion","8/65",0.125049073029654,0.365406171667585,0,0,1.68595117035408,3.50517515291121,"NR4A1;NCEH1;CREB3L3;SP1;CREB3L1;LDLR;CACNA1H;CACNA1G"
"105","Fc gamma R-mediated phagocytosis","11/97",0.125868154191576,0.365406171667585,0,0,1.53705872511293,3.18558543343567,"PRKCG;ACTR3C;MARCKSL1;GSN;FCGR2A;NCF1;SPHK1;RAC2;PLPP1;PLD2;MAPK3"
"106","Insulin resistance","12/108",0.126715154195765,0.365406171667585,0,0,1.50229057591623,3.10345229070391,"NFKBIA;SREBF1;PTPN1;SLC27A1;CREB3L3;CREB3L1;GFPT2;SLC2A1;IRS2;FOXO1;PTPRF;RELA"
"107","Neurotrophin signaling pathway","13/119",0.126943053144258,0.365406171667585,0,0,1.47410757311784,3.04258263896537,"NGFR;MAP3K3;SHC1;CAMK2A;FOXO3;RELA;NFKBIA;TRAF6;MAPKAPK2;NFKBIE;SH2B3;MAPK3;SH2B1"
"108","Gastric acid secretion","9/76",0.128889510023285,0.367573787844184,0,0,1.61378281681079,3.30631783661214,"PRKCG;CA2;CAMK2A;GAST;ATP1A1;ATP1B1;EZR;ACTG1;SLC9A1"
"109","Nitrogen metabolism","3/17",0.138187380657569,0.385083017873229,0,0,2.57170740775165,5.08978104483366,"GLUD1;CA2;CA14"
"110","Phenylalanine metabolism","3/17",0.138187380657569,0.385083017873229,0,0,2.57170740775165,5.08978104483366,"AOC3;AOC2;MAOA"
"111","Type II diabetes mellitus","6/46",0.139707525492109,0.385083017873229,0,0,1.80117340286832,3.54507695778828,"SOCS1;IRS2;GCK;CACNA1G;HK1;MAPK3"
"112","Mucin type O-glycan biosynthesis","5/36",0.140030188317538,0.385083017873229,0,0,1.9364295471262,3.80682151914833,"GALNT11;ST6GALNAC2;GALNT3;GCNT3;ST6GALNAC4"
"113","Glycolysis / Gluconeogenesis","8/67",0.141806570301091,0.386517023475539,0,0,1.62862326857547,3.18117571192614,"ACSS2;PGM2;GALM;ENO2;ALDOA;ENO3;GCK;HK1"
"114","Collecting duct acid secretion","4/27",0.150120245528603,0.402646189438882,0,0,2.08752264492754,3.95860816388651,"CA2;CLCNKB;TCIRG1;SLC12A7"
"115","Alanine, aspartate and glutamate metabolism","5/37",0.152305469432027,0.402646189438882,0,0,1.87581433224756,3.53003329163338,"GLUD1;GAD1;GFPT2;GPT;ADSS1"
"116","Thyroid cancer","5/37",0.152305469432027,0.402646189438882,0,0,1.87581433224756,3.53003329163338,"CDKN1A;RXRA;GADD45B;BAK1;MAPK3"
"117","TNF signaling pathway","12/112",0.152953260273861,0.402646189438882,0,0,1.44188481675393,2.70731594052603,"MAP2K3;NFKBIA;CREB3L3;CREB3L1;IRF1;BCL3;VEGFC;MAP3K8;TRAF2;MAP3K14;RELA;MAPK3"
"118","Other glycan degradation","3/18",0.156852968963984,0.409412834244974,0,0,2.40013012361744,4.44611244504772,"MAN2B2;FUCA1;MAN2B1"
"119","VEGF signaling pathway","7/59",0.166427869154969,0.430754484871684,0,0,1.61643835616438,2.89858640058246,"PRKCG;SPHK1;MAPKAPK2;PXN;RAC2;HSPB1;MAPK3"
"120","Central carbon metabolism in cancer","8/70",0.168891947922945,0.433489333002226,0,0,1.54956624273562,2.75589756579161,"PDGFRB;IDH2;SLC2A1;SLC16A3;FGFR3;GCK;HK1;MAPK3"
"121","Cocaine addiction","6/49",0.172830798450507,0.439932941510382,0,0,1.67523725781511,2.94078218863819,"CREB3L3;MAOA;DLG4;CREB3L1;RELA;GRIN2D"
"122","Human T-cell leukemia virus 1 infection","21/219",0.175354290004524,0.441393607597243,0,0,1.27510124284318,2.21988347598351,"STAT5A;STAT5B;MAP3K3;CDKN1A;SMAD3;TGFB1;SLC2A1;ETS1;RELA;NFKBIA;CCNA1;ZFP36;CREB3L3;PTTG1;LCK;CREB3L1;CDK2;JAK3;MAP3K14;HLA-DQB1;MAPK3"
"123","T cell receptor signaling pathway","11/104",0.176270823813185,0.441393607597243,0,0,1.42082463061809,2.46617318601304,"NFKBIA;LCK;PAK6;MAP3K8;NFKBIE;MAP3K14;CARD11;RELA;MAPK3;PAK4;BUB1B-PAK6"
"124","Osteoclast differentiation","13/127",0.179108931282601,0.444883474476139,0,0,1.37006399430141,2.35618276682086,"JUND;TGFB1;NCF1;TRAF2;RELA;NFKBIA;SOCS1;FCGR2A;LCK;CTSK;TRAF6;MAP3K14;MAPK3"
"125","Vibrio cholerae infection","6/50",0.184532699037162,0.454688570427567,0,0,1.63707478961716,2.76653950837927,"ARF1;KDELR1;KDELR2;TCIRG1;KDELR3;ACTG1"
"126","Ubiquitin mediated proteolysis","14/140",0.189986540995109,0.464411544654711,0,0,1.33493519732052,2.21706310725238,"UBE2I;UBA7;SMURF1;UBE2C;CBLC;CBL;PML;PIAS1;SOCS1;UBE2S;TRAF6;UBC;UBE2O;BIRC7"
"127","Salmonella infection","23/249",0.209424881647325,0.507896563365165,0,0,1.22325152694244,1.91241940541028,"MAP2K3;VPS18;ARF1;RAB5B;IL18;RHOG;TRAF2;SNX33;TUBB4A;RELA;ACTG1;HSP90B1;NFKBIA;ACTR3C;TUBB2A;RRAS;TRAF6;FLNB;FLNC;BAK1;ACBD3;ARL8B;MAPK3"
"128","Spinocerebellar ataxia","14/143",0.211471308361478,0.508852835744807,0,0,1.30367683664035,2.02547830771544,"PRKCG;NFYA;ATP2A3;ATP2A2;ATP2A1;TRAF2;WIPI1;RBPJ;ATG14;PUM1;GRIN2D;SP1;ATG2A;CIC"
"129","MicroRNAs in cancer","28/310",0.214387766535929,0.511298921051406,0,0,1.19372209088521,1.8382949077175,"CDKN1A;NOTCH1;SHC1;CDCA5;IRS2;BCL2L11;SOCS1;PLAU;PIM1;HMOX1;TIMP3;BMF;BAK1;PAK4;MCL1;MAPK3;PRKCG;PDGFRB;ST14;UBE2I;CDC25B;EFNA3;EFNA2;CYP24A1;CCNG1;FSCN1;EZR;FGFR3"
"130","Colorectal cancer","9/86",0.215807986158061,0.511298921051406,0,0,1.4034371898513,2.1519831782805,"CDKN1A;BCL2L11;SMAD3;TGFB1;GADD45B;RAC2;BAK1;RALGDS;MAPK3"
"131","Glioma","8/75",0.21866963973868,0.514124038469569,0,0,1.43353727446319,2.17925359140206,"PDGFRB;PRKCG;CDKN1A;GADD45B;SHC1;CAMK2A;BAK1;MAPK3"
"132","Inflammatory mediator regulation of TRP channels","10/98",0.22152955437074,0.516902293531726,0,0,1.36452762923351,2.0566150467948,"MAP2K3;PRKCG;TRPV4;P2RY2;CAMK2A;BDKRB2;TRPV3;BDKRB1;ASIC3;ASIC1"
"133","Fat digestion and absorption","5/43",0.234005805986802,0.541908182285226,0,0,1.57911880678896,2.29352692293542,"SLC27A1;MOGAT3;CEL;AGPAT2;PLPP1"
"134","Protein processing in endoplasmic reticulum","16/171",0.243770417395654,0.560308123566131,0,0,1.23986114638896,1.75009923126606,"SEC24B;SEC24A;SAR1A;HSPA5;YOD1;TRAF2;HSP90B1;DNAJC3;DNAJB1;LMAN1;HSPH1;BAK1;SEC24D;SEC24C;SEC31A;TXNDC5"
"135","Fructose and mannose metabolism","4/33",0.246947008415278,0.563405026606708,0,0,1.65508261494253,2.31476793649204,"PFKFB3;PMM1;ALDOA;HK1"
"136","Phospholipase D signaling pathway","14/148",0.249480931649742,0.564013785911169,0,0,1.25468985348487,1.74197725618731,"PDGFRB;ARF1;SHC1;SPHK1;TSC1;AGPAT2;DNM1;PLD2;RRAS;PTK2B;RALGDS;PLPP1;RAPGEF3;MAPK3"
"137","Synaptic vesicle cycle","8/78",0.250876261915033,0.564013785911169,0,0,1.37187616560985,1.89702410855139,"RAB3A;SLC6A12;AP2A1;SLC17A7;TCIRG1;AP2B1;DNM1;STX1A"
"138","Pancreatic secretion","10/102",0.259282083402572,0.578687548463711,0,0,1.3049161693663,1.76142632588726,"PRKCG;CA2;ATP2A3;ATP2B4;ATP2A2;ATP2A1;CEL;ATP1A1;ATP1B1;SLC9A1"
"139","Shigellosis","22/246",0.262345189912885,0.579936629902457,0,0,1.17986542443064,1.57877099111172,"ARF1;PXN;IL18;TRAF2;WIPI1;ATG14;SEPTIN9;FOXO3;RELA;FOXO1;ACTG1;HK1;C3;NFKBIA;ACTR3C;TRAF6;RRAGD;UBC;UBE2V1;PLCD3;VCL;MAPK3"
"140","Glycosphingolipid biosynthesis","5/45",0.263607559046571,0.579936629902457,0,0,1.5,1.99994070084598,"B3GNT5;B3GNT2;A4GALT;ST6GALNAC4;ABO"
"141","Fluid shear stress and atherosclerosis","13/139",0.273087361252557,0.596531257204167,0,0,1.23877090674733,1.60787945947808,"GSTM2;NCF1;SDC4;SDC2;MMP2;RELA;ACTG1;HSP90B1;THBD;TRPV4;GPC1;RAC2;HMOX1"
"142","Human immunodeficiency virus 1 infection","19/212",0.278297140766103,0.603600177544174,0,0,1.18231801412351,1.51226263641255,"PRKCG;APOBEC3C;MAP2K3;PXN;TRAF2;RELA;BUB1B-PAK6;GNAO1;NFKBIA;WEE1;TRIM5;TRAF6;RAC2;PAK6;PTK2B;BAK1;APOBEC3B;PAK4;MAPK3"
"143","Amphetamine addiction","7/69",0.280242939574081,0.603600177544174,0,0,1.35498600677567,1.72367554568593,"PRKCG;CREB3L3;MAOA;CREB3L1;CAMK2A;STX1A;GRIN2D"
"144","B cell receptor signaling pathway","8/81",0.284466604785205,0.608442460235022,0,0,1.31528309310061,1.65349421747201,"NFKBIA;IFITM1;RAC2;NFKBIE;CARD11;RELA;CD22;MAPK3"
"145","Salivary secretion","9/93",0.287193050178143,0.610037651412884,0,0,1.28599421479892,1.6044072062488,"PRKCG;CST3;ATP2B4;ADRB1;ADRB2;ATP1A1;ATP1B1;KCNN4;SLC9A1"
"146","Epstein-Barr virus infection","18/202",0.293578552650038,0.613928934222048,0,0,1.17468433982746,1.43970491422391,"MAP2K3;CDKN1A;GADD45B;ENTPD8;TRAF2;RBPJ;RELA;NFKBIA;CCNA1;BCL2L11;OAS1;TRAF6;CDK2;BAK1;NFKBIE;JAK3;MAP3K14;HLA-DQB1"
"147","Chemical carcinogenesis","21/239",0.295793297021067,0.613928934222048,0,0,1.15685113939035,1.40915388234619,"PRKCG;STAT5A;STAT5B;GSTM2;PAQR5;CHRNA4;AIP;ARNT;ADRB1;ADRB2;RELA;HSP90B1;RXRA;CREB3L3;BCL6;CREB3L1;KPNA6;CYP2E1;KPNA2;MAPK3;UGT1A6"
"148","IL-17 signaling pathway","9/94",0.297889994178352,0.613928934222048,0,0,1.27079571214508,1.53897301183548,"NFKBIA;MMP13;JUND;TRAF3IP2;TRAF6;TRAF2;RELA;HSP90B1;MAPK3"
"149","Pathways of neurodegeneration","40/475",0.29918812127836,0.613928934222048,0,0,1.10498084291188,1.33336130595658,"UBA7;CAMK2A;ATP2A3;ATP2A2;ATP2A1;ZFYVE1;RELA;WNT6;WNT11;UBC;BAK1;NDUFV2;PRPH;WNT4;MAPK3;PRKCG;MAP2K3;DNAH11;WNT10A;GPX1;FZD5;HSPA5;WNT7B;CSNK2A2;WNT7A;TRAF2;WIPI1;WNT9A;ATG14;COX6B2;SDHA;TUBB4A;GRIN2D;COX6B1;PINK1;TUBB2A;DLG4;ATG2A;HAP1;STX1A"
"150","Starch and sucrose metabolism","4/36",0.299577016057001,0.613928934222048,0,0,1.49967447916667,1.80768324104724,"GAA;PGM2;GCK;HK1"
"151","Notch signaling pathway","6/59",0.300984639829641,0.613928934222048,0,0,1.3584167671152,1.63104564109759,"TLE4;TLE3;TLE2;NOTCH1;DTX2;RBPJ"
"152","cGMP-PKG signaling pathway","15/167",0.305262983292809,0.617029987818467,0,0,1.18472821397757,1.405776739497,"ATP2A3;ATP2B4;ATP2A2;IRS2;ADRB1;ATP2A1;ADRB2;ATP1A1;ATP1B1;ADRA2B;CREB3L3;CREB3L1;BDKRB2;MEF2D;MAPK3"
"153","Non-alcoholic fatty liver disease","14/155",0.30651164979294,0.617029987818467,0,0,1.19194482399636,1.40947417653971,"SREBF1;TGFB1;IRS2;TRAF2;COX6B2;SDHA;RELA;COX6B1;BCL2L11;RXRA;LEPR;CYP2E1;NDUFV2;IL6R"
"154","Sphingolipid signaling pathway","11/119",0.308972719521906,0.617945439043813,0,0,1.22248867572609,1.43581575197398,"PRKCG;SMPD1;SPHK1;BDKRB2;RAC2;PPP2R5D;TRAF2;CTSD;RELA;PLD2;MAPK3"
"155","Viral myocarditis","6/60",0.314785275626418,0.625508805760881,0,0,1.33318846878169,1.54098527256677,"DAG1;RAC2;ABL2;CD55;ACTG1;HLA-DQB1"
"156","Hepatitis C","14/157",0.323446152212599,0.638598813342823,0,0,1.17514595496247,1.32641383602608,"CDKN1A;TRAF2;TICAM1;RELA;PIAS1;NFKBIA;CLDN3;RXRA;OAS1;TRAF6;CDK2;BAK1;LDLR;MAPK3"
"157","Arachidonic acid metabolism","6/61",0.328682303546845,0.643544029357653,0,0,1.30887756311485,1.45634047037145,"GPX1;PLAAT3;CYP2E1;LTA4H;PTGES;PTGS1"
"158","D-Glutamine and D-glutamate metabolism","1/5",0.330129729345809,0.643544029357653,0,0,2.99805068226121,3.3226483780724,"GLUD1"
"159","Alzheimer disease","31/369",0.33234597621298,0.643789689771055,0,0,1.10144262629352,1.21332579768653,"LRP1;ATP2A3;ATP2A2;IRS2;ATP2A1;RELA;WNT6;WNT11;APOE;NDUFV2;WNT4;MAPK3;WNT10A;FZD5;MME;WNT7B;CSNK2A2;WNT7A;TRAF2;WIPI1;WNT9A;ATG14;COX6B2;SDHA;TUBB4A;GRIN2D;COX6B1;BACE1;BACE2;TUBB2A;ATG2A"
"160","Arginine and proline metabolism","5/50",0.340524282635422,0.649342858224714,0,0,1.33297140788997,1.43596856405549,"AOC1;P4HA1;MAOA;P4HA2;SAT1"
"161","Cholesterol metabolism","5/50",0.340524282635422,0.649342858224714,0,0,1.33297140788997,1.43596856405549,"MYLIP;NCEH1;LRP1;APOE;LDLR"
"162","Choline metabolism in cancer","9/98",0.341537477377934,0.649342858224714,0,0,1.21341709538453,1.30357139198071,"PDGFRB;PRKCG;SP1;RAC2;TSC1;RALGDS;PLPP1;PLD2;MAPK3"
"163","Biosynthesis of unsaturated fatty acids","3/27",0.345428711006078,0.650440884445562,0,0,1.49934938191282,1.59376190233557,"ELOVL5;SCD;TECR"
"164","Influenza A","15/172",0.346338652756728,0.650440884445562,0,0,1.14668476558421,1.21587368027064,"TMPRSS4;IL18;TICAM1;RELA;PML;ACTG1;NFKBIA;DNAJC3;DNAJB1;OAS1;KPNA6;BAK1;KPNA2;HLA-DQB1;MAPK3"
"165","Cell cycle","11/124",0.358036917253323,0.668335578872869,0,0,1.1680779270389,1.19975523918397,"CDKN2D;CCNA1;CDKN1A;WEE1;SMAD3;TGFB1;PTTG1;ORC1;GADD45B;CDK2;CDC25B"
"166","Butanoate metabolism","3/28",0.367062154241728,0.676688737706848,0,0,1.43929733246584,1.44249845590214,"ACSM3;HMGCS1;GAD1"
"167","Pertussis","7/76",0.368808700084447,0.676688737706848,0,0,1.21706041956191,1.21399001628257,"C3;C1S;IRF1;TRAF6;TICAM1;RELA;MAPK3"
"168","GnRH secretion","6/64",0.370751528896465,0.676688737706848,0,0,1.2409746886661,1.23132384466411,"PRKCG;KCNN4;CACNA1H;HCN2;CACNA1G;MAPK3"
"169","Nicotine addiction","4/40",0.37129998919629,0.676688737706848,0,0,1.33275462962963,1.32041991475792,"CHRNA4;SLC17A7;GABRE;GRIN2D"
"170","Selenocompound metabolism","2/17",0.380706772030608,0.685141518474525,0,0,1.59904638058084,1.54424038891623,"KYAT1;PAPSS2"
"171","Vitamin B6 metabolism","1/6",0.381722558406079,0.685141518474525,0,0,2.39831059129305,2.30971992673505,"PDXK"
"172","Measles","12/139",0.38365368628903,0.685141518474525,0,0,1.1336727542565,1.08607549452698,"STAT5A;NFKBIA;STAT5B;OAS1;TRAF6;CSNK2A2;CDK2;EIF3H;BAK1;CD46;JAK3;RELA"
"173","Inflammatory bowel disease","6/65",0.384835982779522,0.685141518474525,0,0,1.21987492541931,1.16490498767243,"MAF;SMAD3;TGFB1;IL18;RELA;HLA-DQB1"
"174","Phagosome","13/152",0.388611349773024,0.68788675706949,0,0,1.12211841528742,1.06059887421875,"RAB5B;NCF1;TCIRG1;TUBB4A;ACTG1;C3;MRC2;TUBB2A;FCGR2A;OLR1;PLA2R1;HLA-DQB1;VAMP3"
"175","Tryptophan metabolism","4/42",0.407090661659205,0.701361718775938,0,0,1.2624725877193,1.13460855911607,"AOC1;MAOA;KYAT1;DHTKD1"
"176","RNA degradation","7/79",0.407486783763659,0.701361718775938,0,0,1.16615930999493,1.04691576470913,"BTG2;PABPC1;ENO2;TOB2;CNOT8;ENO3;TOB1"
"177","C-type lectin receptor signaling pathway","9/104",0.408512485068802,0.701361718775938,0,0,1.13640895183746,1.01735057010907,"NFKBIA;RRAS;KSR1;IRF1;MAPKAPK2;BCL3;MAP3K14;RELA;MAPK3"
"178","Chemokine signaling pathway","16/192",0.408684075013177,0.701361718775938,0,0,1.09067048437127,0.975945969057235,"STAT5B;NCF1;SHC1;PXN;FOXO3;RASGRP2;RELA;NFKBIA;PREX1;TIAM1;GRK5;RAC2;PTK2B;JAK3;MAPK3;CCL26"
"179","Pentose phosphate pathway","3/30",0.409886718765159,0.701361718775938,0,0,1.332538133449,1.18845671907829,"PGM2;ALDOA;TKT"
"180","beta-Alanine metabolism","3/30",0.409886718765159,0.701361718775938,0,0,1.332538133449,1.18845671907829,"AOC3;AOC2;GAD1"
"181","Tight junction","14/169",0.428350855358506,0.728906427902871,0,0,1.08345664397751,0.918568263340372,"ARHGEF18;F11R;YBX3;ACTG1;TIAM1;ACTR3C;PARD6B;CLDN3;MICALL2;AMOTL1;WHAMM;EZR;TJP3;CRB3"
"182","Growth hormone synthesis, secretion and action","10/119",0.434898104180738,0.735981407075095,0,0,1.10037776578521,0.916222414687504,"MAP2K3;PRKCG;STAT5A;STAT5B;SOCS1;CREB3L3;SHC1;CREB3L1;IRS2;MAPK3"
"183","Renin secretion","6/69",0.440994618545654,0.740636000670326,0,0,1.14217420997082,0.935123846211926,"EDN2;ACE;ADRB1;ADRB2;AQP1;CTSB"
"184","Vasopressin-regulated water reabsorption","4/44",0.442457870530325,0.740636000670326,0,0,1.19921875,0.977854993205816,"RAB5B;CREB3L3;CREB3L1;AQP3"
"185","ABC transporters","4/45",0.459906674605026,0.765682463666745,0,0,1.16990599593496,0.908703062973031,"ABCA2;ABCB7;ABCB9;ABCD1"
"186","Endometrial cancer","5/58",0.465073713565485,0.770122063323492,0,0,1.13127650420994,0.866059318991378,"CDKN1A;GADD45B;BAK1;FOXO3;MAPK3"
"187","Circadian entrainment","8/97",0.47369763611568,0.780207871249355,0,0,1.07788893126412,0.805383582936955,"PRKCG;GNAO1;PER1;CAMK2A;CACNA1H;CACNA1G;GRIN2D;MAPK3"
"188","Melanoma","6/72",0.482462842369327,0.788674430020344,0,0,1.09007941211331,0.794505874891997,"PDGFRB;CDKN1A;GADD45B;FGF19;BAK1;MAPK3"
"189","Estrogen signaling pathway","11/137",0.48821993293,0.788674430020344,0,0,1.04681968710746,0.75055850675272,"GNAO1;CREB3L3;SHC1;SP1;CREB3L1;MMP2;NCOA3;KRT14;CTSD;HSP90B1;MAPK3"
"190","Pantothenate and CoA biosynthesis","2/21",0.488568383559555,0.788674430020344,0,0,1.26213127096024,0.90403412428266,"PANK3;BCAT2"
"191","Lipid and atherosclerosis","17/215",0.491370104010439,0.788674430020344,0,0,1.02951378525902,0.731528905311556,"MAP2K3;NCF1;HSPA5;CAMK2A;IL18;TRAF2;TICAM1;POU2F3;RELA;MIB1;HSP90B1;NFKBIA;RXRA;TRAF6;OLR1;LDLR;MAPK3"
"192","Pentose and glucuronate interconversions","3/34",0.49238411240101,0.788674430020344,0,0,1.16034587697022,0.82210058746257,"DCXR;GUSB;UGT1A6"
"193","Pyruvate metabolism","4/47",0.494201834395865,0.788674430020344,0,0,1.11537063953488,0.786125800970272,"ACSS2;PC;LDHD;ACYP1"
"194","Cholinergic synapse","9/113",0.508411456386179,0.807168703953315,0,0,1.03755715218811,0.70187027484704,"PRKCG;GNAO1;CREB3L3;CHRNA4;CHRM4;CREB3L1;KCNQ2;CAMK2A;MAPK3"
"195","Arginine biosynthesis","2/22",0.513658256061554,0.8071772595253,0,0,1.19895968790637,0.798743474446882,"GLUD1;GPT"
"196","Histidine metabolism","2/22",0.513658256061554,0.8071772595253,0,0,1.19895968790637,0.798743474446882,"AOC1;MAOA"
"197","Glutamatergic synapse","9/114",0.519247932391216,0.811819102418753,0,0,1.02761966968368,0.673475005971907,"PRKCG;GNAO1;DLG4;HOMER3;SLC17A7;GRIK2;PLD2;GRIN2D;MAPK3"
"198","Sphingolipid metabolism","4/49",0.527541625749391,0.818739335215078,0,0,1.06568287037037,0.681533507605636,"SMPD1;SPHK1;PSAP;PLPP1"
"199","Tyrosine metabolism","3/36",0.531443948454806,0.818739335215078,0,0,1.0899035902289,0.688990778893354,"AOC3;AOC2;MAOA"
"200","Longevity regulating pathway","8/102",0.53164891897083,0.818739335215078,0,0,1.02027665129715,0.644582153444356,"CREB3L3;SESN3;CREB3L1;IRS2;TSC1;FOXO3;FOXO1;RELA"
"201","Malaria","4/50",0.543803994439002,0.833291692971206,0,0,1.04245923913043,0.635031143298376,"TGFB1;LRP1;SDC2;IL18"
"202","Sulfur metabolism","1/10",0.551320600581298,0.836486428468176,0,0,1.33210598512743,0.793187571679875,"PAPSS2"
"203","Synthesis and degradation of ketone bodies","1/10",0.551320600581298,0.836486428468176,0,0,1.33210598512743,0.793187571679875,"HMGCS1"
"204","Toll-like receptor signaling pathway","8/104",0.554166969697444,0.836683464053003,0,0,0.998912097476066,0.589647071134858,"MAP2K3;NFKBIA;CTSK;TRAF6;MAP3K8;TICAM1;RELA;MAPK3"
"205","Huntington disease","23/306",0.579685589660277,0.868938968701739,0,0,0.973818513851264,0.530993445731733,"DNAH11;GPX1;AP2A1;TRAF2;WIPI1;AP2B1;ATG14;COX6B2;SDHA;TUBB4A;COX6B1;TUBB2A;CREB3L3;DLG4;SP1;CREB3L1;ATG2A;HAP1;NDUFV2;TAF4;STX1A;RCOR1;TGM2"
"206","GnRH signaling pathway","7/93",0.581173466079734,0.868938968701739,0,0,0.975576085802273,0.529450997182965,"MAP2K3;MAP3K3;MMP2;CAMK2A;PTK2B;PLD2;MAPK3"
"207","Taurine and hypotaurine metabolism","1/11",0.585886106896603,0.869294175497288,0,0,1.19883040935673,0.640930540064048,"GAD1"
"208","Glucagon signaling pathway","8/107",0.587055806829337,0.869294175497288,0,0,0.968483793549068,0.51584874542313,"CREB3L3;CREB3L1;CAMK2A;SLC2A1;SIK1;CPT1C;FOXO1;GCK"
"209","Glycosaminoglycan biosynthesis","4/53",0.590771638006807,0.8706108349574,0,0,0.978475765306122,0.514996976901549,"CHPF;B3GNT2;CHST1;EXTL3"
"210","Long-term potentiation","5/67",0.595179787717542,0.871550691150834,0,0,0.966586109067984,0.501553562345756,"PRKCG;CAMK2A;RAPGEF3;MAPK3;GRIN2D"
"211","Neutrophil extracellular trap formation","14/189",0.599896147960976,0.871550691150834,0,0,0.958584534731324,0.489835475511524,"PRKCG;H2AX;NCF1;VWF;H2BC4;RELA;ACTG1;H2AC11;C3;H2BC12;FCGR2A;H2BC11;RAC2;MAPK3"
"212","Glycine, serine and threonine metabolism","3/40",0.60417074999747,0.871550691150834,0,0,0.9718651637975,0.489721322752865,"AOC3;AOC2;MAOA"
"213","Folate biosynthesis","2/26",0.605557947747658,0.871550691150834,0,0,0.998916341569137,0.501061449752893,"ALPP;ALPG"
"214","Maturity onset diabetes of the young","2/26",0.605557947747658,0.871550691150834,0,0,0.998916341569137,0.501061449752893,"NKX6-1;GCK"
"215","Fatty acid elongation","2/27",0.626368270034778,0.89636231859601,0,0,0.95890767230169,0.44859310922665,"ELOVL5;TECR"
